signal_time,entry_time,exit_time,side,entry_price,exit_price,quantity,notional,stop_price,target_price,entry_fee,exit_fee,gross_pnl,net_pnl,exit_reason,bars_held,entry_regime,window
2026-07-21 14:00:00+00:00,2026-07-21 14:05:00+00:00,2026-07-21 14:20:00+00:00,1,66872.561838,66694.96487405954,0.0037384540554260444,250.0,66708.30653536662,67201.07244326675,0.25,0.2493360619099255,-0.6639380900745291,-1.1632741519844545,stop,3,bull_high_vol,wf1_oos
2026-07-23 00:05:00+00:00,2026-07-23 00:10:00+00:00,2026-07-23 00:50:00+00:00,1,66217.850922,66111.17071240858,0.003771025153868915,249.7091814620039,66124.39559152689,66404.76158294623,0.2497091814620039,0.2493068877082147,-0.4022937537892422,-0.9013098229594607,stop,8,sideways_low_vol,wf3_oos
2026-07-23 20:25:00+00:00,2026-07-23 20:30:00+00:00,2026-07-23 21:10:00+00:00,1,65181.023598,65052.807611421245,0.003827553484660513,249.48385400626404,65065.82077557636,65411.42924284728,0.24948385400626405,0.24899310046004533,-0.49075354621869693,-0.9892305006850063,stop,8,bear_low_vol,wf4_oos
2026-07-24 07:10:00+00:00,2026-07-24 07:15:00+00:00,2026-07-24 07:20:00+00:00,1,65778.142998,65665.04050377283,0.003789048079217908,249.23654638109278,65678.17613900063,65978.07671599874,0.24923654638109277,0.2488079955925866,-0.4285507885061809,-0.9265953304798602,stop,1,bull_high_vol,wf5_oos
